text,expertise,risk
"Honestly, I have no money to pay for my university school fees",Financial & School Fees,Medium
I need to vent: I don't have access to clean drinking water and I am sick. It is so hard.,Hygiene & Health,High
Every day it's the same: I feel stressed out and overwhelmed by life and it's ruining my life.,Mental Health,Medium
Every day it's the same: I am constantly stressed about how to source funds for tuition fees and it's completely draining my energy.,Financial & School Fees,Medium
Can anyone advise me? Severe panic attacks are making it impossible to breathe and I have no support system here.,Mental Health,High
The pain is too much and I want to commit suicide and it's ruining my life.,Mental Health,Critical
I need to vent: I feel like failing these assignments will ruin my entire future and it's completely draining my energy.,Education & Academics,Medium
I am being evicted because I cannot pay rent and it's completely draining my energy.,Financial & School Fees,High
Every day it's the same: The pressure to pass my classes is overwhelming me and it's completely draining my energy.,Education & Academics,Medium
I need to vent: I feel like I am not good enough for any opportunities which makes everything worse.,Self-Esteem & Empowerment,Medium
"Lately, I feel confused about transitioning from school to the workforce",Career & Future,Low
Every day it's the same: I can't seem to sleep or rest because my mind won't stop worrying and I have no support system here.,Mental Health,Medium
"Lately, I don't know how to properly manage my menstrual hygiene and I don't know what to do.",Hygiene & Health,Medium
"To be honest, I feel like failing these assignments will ruin my entire future and it's ruining my life.",Education & Academics,Medium
I am struggling because Severe panic attacks are making it impossible to breathe and it's ruining my life.,Mental Health,High
"To be honest, I am worried about my physical health and lack of nutrition. I just want things to get better.",Hygiene & Health,Medium
I am falling behind on my reading list this semester which makes everything worse.,Education & Academics,Low
"Honestly, I am worried I will never find employment after graduation and I have no support system here.",Career & Future,Medium
I feel like I feel utterly alone and depressed every single day. I feel stuck.,Mental Health,High
Can anyone advise me? I have to drop out entirely because we cannot pay basic living fees right now.,Financial & School Fees,High
I need to vent: I want to find a mentor to guide my career and it's ruining my life.,Career & Future,Low
Lately I have been feeling that I feel completely hopeless and want to end it all. It is so hard.,Mental Health,Critical
"Honestly, I have a severe infection but no access to a clinic. It is so hard.",Hygiene & Health,High
I am struggling because I am slipping back into deep depression and feel trapped. I feel stuck.,Mental Health,High
Lately I have been feeling that I always seek validation from others to feel good right now.,Self-Esteem & Empowerment,Low
"To be honest, I can't seem to sleep or rest because my mind won't stop worrying right now.",Mental Health,Medium
Lately I have been feeling that I keep getting poor grades despite trying my best. I feel stuck.,Education & Academics,Medium
Lately I have been feeling that I have an outstanding balance and won't be allowed to register and it's ruining my life.,Financial & School Fees,Medium
Lately I have been feeling that I am being evicted because I cannot pay rent and I don't know what to do.,Financial & School Fees,High
Every day it's the same: I am worried I will never find employment after graduation. It is so hard.,Career & Future,Medium
It is hard to admit but I can't seem to sleep or rest because my mind won't stop worrying and I have no support system here.,Mental Health,Medium
Lately I have been feeling that I feel nervous about presenting my group project next week and it's completely draining my energy.,Education & Academics,Low
Lately I have been feeling that I don't know how to study effectively for finals right now.,Education & Academics,Low
I need to vent: I feel deeply depressed and hopeless about everything,Mental Health,High
I am struggling because I have an untreated reproductive tract illness and nowhere to go. I feel stuck.,Hygiene & Health,High
I need to vent: My anxiety is so bad I can't leave my room. I just want things to get better.,Mental Health,High
I need to vent: I have an untreated reproductive tract illness and nowhere to go which makes everything worse.,Hygiene & Health,High
Lately I have been feeling that Everyone else seems so confident and I feel worthless which makes everything worse.,Self-Esteem & Empowerment,Medium
"Lately, I am struggling to find any motivation to get out of bed and I don't know what to do.",Mental Health,Medium
Every day it's the same: I find it hard to concentrate during lectures and it's completely draining my energy.,Education & Academics,Low
"Lately, I am worried I will never find employment after graduation. I just want things to get better.",Career & Future,Medium
Can anyone advise me? I feel pressured to change my appearance just to fit in with others and I have no support system here.,Self-Esteem & Empowerment,Medium
I need to vent: I need reliable information on contraceptive methods and I don't know what to do.,Hygiene & Health,Medium
It is hard to admit but Unemployment is making me feel like a burden and it's ruining my life.,Career & Future,Medium
"Honestly, I am planning to harm myself tonight because I cannot take it anymore and I don't know what to do.",Mental Health,Critical
"Please help, I have to drop out entirely because we cannot pay basic living fees and I have no support system here.",Financial & School Fees,High
"Honestly, I want to learn how to network professionally within my field and I have no support system here.",Career & Future,Low
Can anyone advise me? There is no clean or private place to change my pads at school which makes everything worse.,Hygiene & Health,Medium
"Lately, I don't have the skills required to get hired anywhere and it's completely draining my energy.",Career & Future,Medium
"Lately I have been feeling that I am thinking about suicide, I can't do this anymore and it's ruining my life.",Mental Health,Critical
I feel like I have an outstanding balance and won't be allowed to register. I feel stuck.,Financial & School Fees,Medium
"To be honest, I might drop out of school due to financial struggles and it's ruining my life.",Financial & School Fees,Medium
I am struggling because I have a severe infection but no access to a clinic and I don't know what to do.,Hygiene & Health,High
I always seek validation from others to feel good. I feel stuck.,Self-Esteem & Empowerment,Low
"Please help, I feel stuck and hopeless about my career path and it's completely draining my energy.",Career & Future,Medium
"Lately I have been feeling that My mind is constantly racing with dark, heavy thoughts. I feel stuck.",Mental Health,High
I feel like I have no money to pay for my university school fees. I just want things to get better.,Financial & School Fees,Medium
"Please help, The pressure to pass my classes is overwhelming me right now.",Education & Academics,Medium
I feel like I can't seem to sleep or rest because my mind won't stop worrying and it's completely draining my energy.,Mental Health,Medium
"Can anyone advise me? I want to end my life, everything is too heavy right now.",Mental Health,Critical
I want to believe in myself more but my inner voice is so negative and it's ruining my life.,Self-Esteem & Empowerment,Low
"Lately, I need reliable information on contraceptive methods. It is so hard.",Hygiene & Health,Medium
I need to vent: I feel deeply depressed and hopeless about everything. I just want things to get better.,Mental Health,High
"Honestly, I feel utterly alone and depressed every single day which makes everything worse.",Mental Health,High
I feel like My anxiety is so bad I can't leave my room and I don't know what to do.,Mental Health,High
Lately I have been feeling that I cannot control my mood swings lately which makes everything worse.,Mental Health,Medium
"Please help, I don't know which career or major to choose. I feel stuck.",Career & Future,Low
Can anyone advise me? I don't have the skills required to get hired anywhere and I have no support system here.,Career & Future,Medium
I feel like I feel like failing these assignments will ruin my entire future. It is so hard.,Education & Academics,Medium
I am struggling because I am facing severe period poverty and using unsafe alternatives right now.,Hygiene & Health,High
I feel like I want to build my self-esteem but don't know how which makes everything worse.,Self-Esteem & Empowerment,Low
I need to vent: I feel very lonely and isolated from my friends. It is so hard.,Mental Health,Medium
"To be honest, My anxiety is so bad I can't leave my room",Mental Health,High
I feel like I feel confused about transitioning from school to the workforce. It is so hard.,Career & Future,Low
I need to vent: I feel confused about transitioning from school to the workforce,Career & Future,Low
Every day it's the same: I've been crying for days and I feel completely empty,Mental Health,High
"Honestly, I missed a few classes and now I am falling behind",Education & Academics,Low
"Honestly, I need advice on reproductive health but have no one to ask and it's completely draining my energy.",Hygiene & Health,Medium
"Lately, I cannot understand mathematics concepts which makes everything worse.",Education & Academics,Low
I feel like I feel like failing these assignments will ruin my entire future and I don't know what to do.,Education & Academics,Medium
Can anyone advise me? I want to find a mentor to guide my career which makes everything worse.,Career & Future,Low
It is hard to admit but I find it hard to concentrate during lectures and I have no support system here.,Education & Academics,Low
"Honestly, I am struggling with my academic performance this term and it's ruining my life.",Education & Academics,Medium
I am struggling because My parents cannot afford to sponsor my education anymore right now.,Financial & School Fees,Medium
I am struggling because I feel pressured to change my appearance just to fit in with others which makes everything worse.,Self-Esteem & Empowerment,Medium
Lately I have been feeling that I am planning to harm myself tonight because I cannot take it anymore and it's ruining my life.,Mental Health,Critical
I am struggling because I feel deeply depressed and hopeless about everything right now.,Mental Health,High
"I need to vent: My mind is constantly racing with dark, heavy thoughts. It is so hard.",Mental Health,High
I feel like I am struggling with my academic performance this term which makes everything worse.,Education & Academics,Medium
I am struggling because I feel stressed out and overwhelmed by life and I don't know what to do.,Mental Health,Medium
