text,expertise,risk
I feel like I don't know which career or major to choose. I feel stuck.,Future Planning,Low
I am struggling because I can't seem to sleep or rest because my mind won't stop worrying,Mental Health,Medium
"To be honest, I feel confused about transitioning from school to the workforce and I don't know what to do.",Career,Low
"Honestly, I feel stressed out and overwhelmed by life and I don't know what to do.",Mental Health,Medium
It is hard to admit but I feel embarrassed to ask about changes in my body during puberty and it's completely draining my energy.,Hygiene,Medium
"Honestly, My family has no money for food or basic survival and it's completely draining my energy.",School Fees,High
"Lately, I feel like failing these assignments will ruin my entire future right now.",Education,Medium
"Honestly, I am slipping back into deep depression and feel trapped which makes everything worse.",Mental Health,High
I need to vent: I missed my final exams because I lacked basic menstrual health supplies. I just want things to get better.,Hygiene,High
Lately I have been feeling that I don't know which career or major to choose. I just want things to get better.,Future Planning,Low
"Lately, I want to find a mentor to guide my career which makes everything worse.",Future Planning,Low
I need to vent: I am constantly stressed about how to source funds for tuition fees and it's ruining my life.,Financial,Medium
I feel so overwhelmed by my emotions and regular stress and I have no support system here.,Mental Health,Medium
Can anyone advise me? I have a severe infection but no access to a clinic and it's completely draining my energy.,Health,High
"To be honest, I missed my final exams because I lacked basic menstrual health supplies. I feel stuck.",Health,High
"To be honest, I missed a few classes and now I am falling behind and I have no support system here.",Education,Low
I need to vent: I am constantly stressed about how to source funds for tuition fees and it's completely draining my energy.,School Fees,Medium
"Lately, I want to believe in myself more but my inner voice is so negative and I don't know what to do.",Empowerment,Low
"To be honest, I can't seem to sleep or rest because my mind won't stop worrying and I have no support system here.",Mental Health,Medium
Every day it's the same: I am struggling to find any motivation to get out of bed right now.,Mental Health,Medium
I feel like I am struggling to find mentorship opportunities. It is so hard.,Future Planning,Medium
"To be honest, I feel nervous about presenting my group project next week",Education,Low
It is hard to admit but Everyone else seems so confident and I feel worthless. I just want things to get better.,Empowerment,Medium
"To be honest, I feel deeply depressed and hopeless about everything and I don't know what to do.",Mental Health,High
"Lately, I cannot understand my university coursework and I have no support system here.",Academics,Medium
Can anyone advise me? I have to drop out entirely because we cannot pay basic living fees. It is so hard.,School Fees,High
I feel like I have an outstanding balance and won't be allowed to register right now.,Financial,Medium
"Please help, I can't seem to sleep or rest because my mind won't stop worrying and it's ruining my life.",Mental Health,Medium
"Honestly, I find it hard to concentrate during lectures and it's ruining my life.",Education,Low
Lately I have been feeling that I have no money to pay for my university school fees and I don't know what to do.,Financial,Medium
"Lately, I might drop out of school due to financial struggles and it's ruining my life.",Financial,Medium
I need to vent: I feel completely insecure and unloved when I compare myself online and I have no support system here.,Empowerment,Medium
"To be honest, Severe panic attacks are making it impossible to breathe. I feel stuck.",Mental Health,High
I missed a few classes and now I am falling behind and it's completely draining my energy.,Academics,Low
I am struggling to find mentorship opportunities and I don't know what to do.,Career,Medium
"Lately, I have an untreated reproductive tract illness and nowhere to go. I feel stuck.",Health,High
I need to vent: I am body-shamed by my peers and it destroys my confidence and it's completely draining my energy.,Self-Esteem,Medium
I feel like I keep getting poor grades despite trying my best and it's completely draining my energy.,Education,Medium
I am struggling because I've been crying for days and I feel completely empty. I just want things to get better.,Mental Health,High
"Please help, I have to drop out entirely because we cannot pay basic living fees. It is so hard.",School Fees,High
Can anyone advise me? I want to build my self-esteem but don't know how and I have no support system here.,Empowerment,Low
"To be honest, I don't have access to clean drinking water and I am sick right now.",Hygiene,High
"Honestly, I feel nervous about presenting my group project next week which makes everything worse.",Education,Low
"Please help, I am trying to figure out what my strengths are. I feel stuck.",Career,Low
"Lately, I want to become a stronger, more confident girl and I have no support system here.",Empowerment,Low
I am struggling because I dropped out of school because it was too difficult which makes everything worse.,Education,Medium
It is hard to admit but I need help building a professional resume and it's ruining my life.,Career,Low
"Honestly, I cannot find a job or internship anywhere",Career,Medium
"To be honest, I constantly doubt my abilities and intelligence which makes everything worse.",Self-Esteem,Medium
Can anyone advise me? We lack basic sanitation facilities in our community and it's completely draining my energy.,Health,High
"Lately, I want to learn how to network professionally within my field. It is so hard.",Career,Low
Every day it's the same: I cannot understand my university coursework,Education,Medium
I need to vent: I cannot understand my university coursework,Academics,Medium
"Lately, I hate how I look and feel completely insecure. It is so hard.",Empowerment,Medium
I am struggling because I need extra tutoring for my science courses and it's ruining my life.,Academics,Low
I feel like Severe panic attacks are making it impossible to breathe. It is so hard.,Mental Health,High
It is hard to admit but I have to drop out entirely because we cannot pay basic living fees. I just want things to get better.,School Fees,High
Every day it's the same: I am slipping back into deep depression and feel trapped and I don't know what to do.,Mental Health,High
It is hard to admit but I have an outstanding balance and won't be allowed to register. I just want things to get better.,Financial,Medium
Lately I have been feeling that I feel pressured to change my appearance just to fit in with others right now.,Empowerment,Medium
I feel like I am worried about my physical health and lack of nutrition and it's ruining my life.,Health,Medium
"Lately, I cannot understand my university coursework and I don't know what to do.",Academics,Medium
It is hard to admit but I am falling behind on my reading list this semester. I just want things to get better.,Academics,Low
Every day it's the same: I dropped out of school because it was too difficult and it's ruining my life.,Academics,Medium
"Please help, I need extra tutoring for my science courses. It is so hard.",Academics,Low
Lately I have been feeling that I feel locked out of career spaces because I don't have connections and it's completely draining my energy.,Career,Medium
"To be honest, I don't know how to properly manage my menstrual hygiene. It is so hard.",Hygiene,Medium
Every day it's the same: I have an untreated reproductive tract illness and nowhere to go which makes everything worse.,Hygiene,High
Every day it's the same: I feel utterly alone and depressed every single day. I just want things to get better.,Mental Health,High
Can anyone advise me? I am worried about my physical health and lack of nutrition,Health,Medium
It is hard to admit but I can't seem to sleep or rest because my mind won't stop worrying. It is so hard.,Mental Health,Medium
Every day it's the same: I don't have access to clean drinking water and I am sick and it's completely draining my energy.,Hygiene,High
"Lately, I don't know how to prepare for a job interview",Future Planning,Low
I feel like I feel stressed out and overwhelmed by life. I feel stuck.,Mental Health,Medium
I am struggling because Everyone else seems so confident and I feel worthless. I feel stuck.,Empowerment,Medium
I feel like I have an outstanding balance and won't be allowed to register and I don't know what to do.,School Fees,Medium
I lack clean water for bathing and personal hygiene and I have no support system here.,Health,Medium
Can anyone advise me? I want to find a mentor to guide my career and I don't know what to do.,Career,Low
I want to help my community but I don't know where to start or who to approach.,Empowerment,Low
I have an outstanding balance and won't be allowed to register. It is so hard.,Financial,Medium
I need to vent: I am struggling to find any motivation to get out of bed and I have no support system here.,Mental Health,Medium
Everyone else seems so confident and I feel worthless. I feel stuck.,Self-Esteem,Medium
"Please help, I am constantly anxious about my future. It is so hard.",Mental Health,Medium
I need to vent: I dropped out of school because it was too difficult which makes everything worse.,Education,Medium
"Honestly, My parents cannot afford to sponsor my education anymore",School Fees,Medium
"I need to vent: I want to become a stronger, more confident girl and I don't know what to do.",Empowerment,Low
I need to vent: I keep getting poor grades despite trying my best and I don't know what to do.,Education,Medium
"Lately, I cannot afford the textbooks and materials needed for class",School Fees,Medium
Every day it's the same: I feel invisible when I am in a room full of people and it's ruining my life.,Self-Esteem,Low
